Sample_ID,PetroNo,Sample_type,Date_sampled,WaterYear,NAT_LOC,Site_name,Watershed,River,Reach,Lat_dd,Long_dd,Collector,Source,Paired_with,Sr8786,SD,Notes
E3,,Water,41011,2012,FEA,Feather River near Sac,Feather River,Feather River,Lower,38.874447,-121.614702,Peter Weber,Phillis et al. 2018 Biological Conservation,clams were lost,0.707,0.0000107,
ISO_060617_12,,Water,42892,2017,FEA,"Feather River, Nicolaus",Feather River,Feather River,Lower,38.83585,-121.63503,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.706559,0.00000848,
ISO_081616_01,,Water,42598,2016,FEA,"Feather River, Nicolaus",Feather River,Feather River,Lower,38.89403,-121.59824,"SR, MI (Jason Kindopp, DWR)","Sturrock & Johnson, unpub.",,0.70655,0.0000165,"Water Sample #1- Sampled from bank, did not find any clams."
07SB17,,Water,39240,2007,FEA,Feather river at river front park,Feather River,Feather River,Mid,39.141518,-121.607772,Peter Weber,"Weber, unpublished",,0.7063075,0.0000127,
07SB20,,Water,39206,2007,FEA,Feather river at river front park,Feather River,Feather River,Mid,39.141518,-121.607772,Peter Weber,"Weber, unpublished",,0.7061606,0.0000113,
FEA_YUBCON_031213,,Water,41345,2013,FEA,"Feather R, Yuba confluence - Mosquito Beach",Feather River,Feather River,Mid,39.12801,-121.59968,Anna Sturrock,"Sturrock & Johnson, unpub.",,0.7060388,0.00003891,
FEA_YUBCON_051113,,Water,41405,2013,FEA,"Feather R, Yuba confluence - Mosquito Beach",Feather River,Feather River,Mid,39.12801,-121.59968,"Marianne Pott, SYRCL","Sturrock & Johnson, unpub.",,0.7062245,0.00001068,
Y01_FEA_MOSQ_011114,,Water,41650,2014,FEA,"Feather R, Yuba confluence - Mosquito Beach",Feather River,Feather River,Mid,39.12793,-121.599609,Anna Sturrock,"Sturrock & Johnson, unpub.",clams,0.706294,0.0000158,
Y02_FEA_YUBCON_011114,,Water,41650,2014,FEA,"Feather R, at Yuba confluence",Feather River,Feather River,Mid,39.121784,-121.600105,Anna Sturrock,"Sturrock & Johnson, unpub.",clams,0.7063,0.0000126,
IEP019,,Water,35732,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7061155,0.0000226,
IEP027,,Water,35752,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7061063,0.0000113,
IEP056,,Water,35775,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7061019,0.00000989,
IEP131,,Water,35879,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7062674,0.0000127,
IEP167,,Water,35938,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7063311,0.00000989,
IEP018,,Water,35732,1998,FEA,Feather River Hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7061456,0.0000113,
IEP028,,Water,35752,1998,FEA,Feather River Hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7060866,0.00000989,
IEP057,,Water,35775,1998,FEA,Feather River Hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7060807,0.0000127,
IEP082,,Water,35823,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7061504,0.00000989,
IEP083,,Water,35823,1998,FEA,Feather River Hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7061812,0.0000127,
IEP087,,Water,35823,1998,FEA,Feather River Hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7062345,0.00000847,
IEP132,,Water,35903,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7063314,0.00000848,
IEP134,,Water,35903,1998,FEA,Feather River Hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,Ingram & Weber 1999,,0.7063477,0.000024,
IEP237,,Water,36032,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.7062076,0.00001,
IEP251,,Water,36065,1998,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.7062119,0.00001,
IEP282,,Water,36108,1999,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.706155,0.000008,
IEP338,,Water,36202,1999,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.7062023,0.00001,"Day diff date between consolidating tab and ""2000 IEP samples file"" (used the latter)"
IEP368,,Water,36265,1999,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.7061052,0.00001,"Day diff date between consolidating tab and ""2000 IEP samples file"" (used the latter)"
IEP378,,Water,36304,1999,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.7061216,0.00001,
IEP512,,Water,36999,2001,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.70675,0.00002,
IEP512-D,,Water,36999,2001,FEA,Feather River by hatchery,Feather River,Feather River,Upper,39.51636,-121.55603,Peter Weber,"Weber, unpublished",,0.70677,0.00008,
IEP600,,Water,37330,2002,FEA,Feather River just below Oroville Dam,Feather River,Feather River,Upper,39.532212,-121.491665,Peter Weber,"Weber, unpublished",,0.70617,0.00002,
IEP601,,Water,37330,2002,FEA,Feather River at SWP,Feather River,Feather River,Upper,39.520209,-121.547636,Peter Weber,"Weber, unpublished",,0.70606,0.00007,
ISO_060517_06,,Water,42891,2017,FEA,"Feather River, Gridley",Feather River,Feather River,Upper,39.365505,-121.646086,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.706035,0.0000124,
ISO_060517_07,,Water,42891,2017,,Honcut Creek,Feather River,Honcut Creek,trib,39.310089,-121.617186,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.705276,0.0000158,
ISO_081716_02,,Water,42599,2016,,Honcut Creek,Feather River,Honcut Creek,trib,39.31952,-121.60925,"SR, MI (Jason Kindopp, DWR)","Sturrock & Johnson, unpub.",,0.706508,0.0000117,Water sample #6- collected from boat. Boated as far up Honcut Creek as possible to reach collection site. Unable to find any clams.
ISO_070617_02,,Water,42922,2017,ANT,Antelope Creek @Cone Grove Park,Lassen Tributaries,Antelope Creek,Mid,40.167684,-122.136045,Rachel Johnson,"Sturrock & Johnson, unpub.",oxygen,0.704134,0.000015,
IEP015,,Water,35732,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.703904,0.0000127,
IEP029,,Water,35752,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.7039521,0.0000127,"Multiple ""PKW_Sample_Name"" entries (from H2O names file) but cannot find associated data so just associating the single conc or Sr8786 values from ""consolidating in process"" and Weber Geology values wiith the top one (lowest sample number)"
IEP052,,Water,35775,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.70403,0.00000845,
IEP084,,Water,35823,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.7039682,0.0000113,
IEP122,,Water,35877,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.7039546,0.00000986,
IEP138,,Water,35903,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.7039605,0.0000155,
IEP170,,Water,35938,1998,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,Ingram & Weber 1999,,0.7039599,0.00000986,
IEP304,,Water,36145,1999,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,"Weber, unpublished",,0.7039214,0.000008,"Day diff date between consolidating tab and ""2000 IEP samples file"" (used the latter)"
IEP341,,Water,36202,1999,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,"Weber, unpublished",,0.7039976,0.00001,"Day diff date between consolidating tab and ""2000 IEP samples file"" (used the latter)"
IEP452,,Water,36412,1999,BAT,Coleman Hatchery,Lassen Tributaries,Battle Creek,Upper,40.398064,-122.145393,Peter Weber,"Weber, unpublished",,0.7039204,0.00001,
ISO_060517_03,,Water,42891,2017,BAT,"Battle Creek, Coleman Fish Hatchery",Lassen Tributaries,Battle Creek,Upper,40.398141,-122.145299,Mollie Ogaz,"Sturrock & Johnson, unpub.",oxygen,0.703885,0.0000145,"Collected from mainstem river next to hatchery, not hatchery itself"
BAT_031915_LE02,,Water,42082,2015,,Baldwin Creek,Lassen Tributaries,Battle Creek,trib,40.431408,-121.002813,"Laurie Earley (USFWS, laurie_earley@fws.gov)","Sturrock & Johnson, unpub.",,0.703879,0.000014,"LE02. Lower section of Baldwin is spring fed (Darrah Springs) and is a perennial stream, the upper section of Baldwin Creek is an intermittent stream.  PG&E once diverted water from creek to the Coleman Canal, however, this diversion hasn't taken place in sometime (not sure how long but at least 3-4 years)."
BAT_031915_LE03,,Water,42082,2015,,Inskip canal ,Lassen Tributaries,Battle Creek,trib,40.401273,-121.952948,"Laurie Earley (USFWS, laurie_earley@fws.gov)","Sturrock & Johnson, unpub.",,0.703907,0.0000174,"LE03. Inskip = Mix of SF (think South Fork Battle Ck) and Ripley Creek water. I was under the impression that Ripley was a perennial stream, but we had a Thermal Infrared survey flown last summer and it was dry.  The section flown was below Lower Ripley Dam, so there is potential that all water from the creek was being diverted.  This water is diverted to Inskip Canal and Inskip Powerhouse.  The Inskip tailrace (powerhouse release) is approximately 0.1 miles from the start of the Coleman Canal."
BAT_NF_060114,,Water,41791,2014,BAT,"Battle Creek, North Fork (Wildcat Rd)",Lassen Tributaries,Battle Creek,Upper,40.424405,-121.986929,Anna Sturrock,"Sturrock & Johnson, unpub.",,0.703962,0.000008,
BAT_SF_060114,,Water,41791,2014,BAT,"Battle Creek, South Fork (Manton Rd)",Lassen Tributaries,Battle Creek,Upper,40.405737,-121.980589,Anna Sturrock,"Sturrock & Johnson, unpub.",,0.703908,0.000011,
ISO_070617_03,,Water,42922,2017,,Big Chico Creek @Hwy 32,Lassen Tributaries,Big Chico Creek,TBC,39.752786,-121.915534,Rachel Johnson,"Sturrock & Johnson, unpub.",oxygen,0.704456,0.0000119,
